surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Lega,Silvestro,Silvestro Lega,Yes,x,,,"realism, scene",1895,proximasan,x,x,10
Leger,Fernand,Fernand Leger,Yes,x,Yes,x,"abstract, cubism, vibrant",1955,sureailabs,x,x,12
Legg,Jeff,Jeff Legg,Yes,x,,,"still life, dark",,sureailabs,x,x,10
Lehr,Paul,Paul Lehr,Yes,x,Yes,x,"sci-fi, fantasy, vibrant, colorful",1998,proximasan,x,x,1
Leib,Chris,Chris Leib,Yes,x,Yes,x,"surrealism, realism",,EErratica,x,x,9
Leibovitz,Annie,Annie Leibovitz,Yes,x,Yes,x,"portrait, scene, photography",,sureailabs,x,x,12
Leighton,Edmund,Edmund Leighton,Yes,x,Yes,x,"romanticism, scene, character",1922,EErratica,x,x,3
Leighton,Frederick Lord,Frederick Lord Leighton,Yes,x,Yes,x,"portrait, romanticism, scene",1896,proximasan,x,x,5
Leiter,Saul,Saul Leiter,Yes,x,,,,2013,sureailabs,x,x,14
Lely,Peter,Peter Lely,Yes,x,,,,1680,sureailabs,x,x,14
Lemire,Jeff,Jeff Lemire,Yes,x,Yes,x,"comics, messy",,sureailabs,x,x,6
Lenoir,Charles-Amable,Charles-Amable Lenoir,Yes,x,,,,1926,sureailabs,x,x,15
Lentulov,Aristarkh,Aristarkh Lentulov,Yes,x,,,,1943,sureailabs,x,x,15
Leuthard,Thomas,Thomas Leuthard,Yes,x,,,,,sureailabs,x,x,16
Levers,Andreas,Andreas Levers,Yes,x,,,,,sureailabs,x,x,16
Levitan,Isaac,Isaac Levitan,Yes,x,Yes,x,"landscape, realism, impressionism",1900,EErratica,x,x,2
Levitt,Helen,Helen Levitt,Yes,x,,,,2009,sureailabs,x,x,16
LeWitt,Sol,Sol LeWitt,Yes,x,,,,2007,sureailabs,x,x,16
Leyendecker,Frank Xavier,Frank Xavier Leyendecker,Yes,x,,,,1924,sureailabs,x,x,15
Leyendecker,J.C.,J.C. Leyendecker,Yes,x,Yes,x,"art nouveau, portrait, scene",1951,sureailabs,x,x,3
Leyster,Judith,Judith Leyster,Yes,x,,,,1660,sureailabs,x,x,15
Lhote,André,André Lhote,Yes,x,Yes,x,"cubism, fauvism",1962,sureailabs,x,x,10
Libeskind,Daniel,Daniel Libeskind,Yes,x,,,,,sureailabs,x,x,15
Lichtenstein,Roy,Roy Lichtenstein,Yes,x,Yes,x,"comics, portrait, abstract, expressionism",1997,proximasan,x,x,4
Lie,Jonas,Jonas Lie,Yes,x,,,,1908,sureailabs,x,x,15
Lieber,Steve,Steve Lieber,Yes,x,Yes,x,"comics, character",,sureailabs,x,x,9
Liefeld,Rob,Rob Liefeld,Yes,x,Yes,x,"comics, sci-fi, fantasy",,sureailabs,x,x,4
Liepke,Malcolm,Malcolm Liepke,Yes,x,Yes,x,"high contrast, character",,sureailabs,x,x,6
Lifsches,Iwona,Iwona Lifsches,Yes,x,,,,,sureailabs,x,x,16
Ligare,David,David Ligare,Yes,x,Yes,x,"realism, scene, still life",,EErratica,x,x,9
Lijun,Fang,Fang Lijun,Yes,x,Yes,x,"figurativism, detailed, vibrant",,sureailabs,x,x,9
Lilien,Ephraim Moses,Ephraim Moses Lilien,Yes,x,Yes,x,art nouveau,1925,sureailabs,x,x,8
Lin,Maya,Maya Lin,Yes,x,,,,,sureailabs,x,x,14
Lindbergh,Peter,Peter Lindbergh,Yes,x,,,,2019,sureailabs,x,x,14
Lindner,Richard,Richard Lindner,Yes,x,Yes,x,"pop art, figurativism,",1978,sureailabs,x,x,8
Lindsay,Norman,Norman Lindsay,Yes,x,Yes,x,"watercolor, nudity",1969,sureailabs,x,x,11
Lipking,Jeremy,Jeremy Lipking,Yes,x,Yes,x,"realism, portrait, scene, landscape",,sureailabs,x,x,6
Lippi,Filippino,Filippino Lippi,Yes,x,Yes,x,"renaissance, scene, portrait",1504,sureailabs,x,x,2
Lippmann,Peter,Peter Lippmann,Yes,x,,,,,sureailabs,x,x,14
Lipton,Laurie,Laurie Lipton,Yes,x,Yes,x,"monochromatic, detailed, surrrealism",,proximasan,x,x,5
Lismer,Arthur,Arthur Lismer,Yes,x,,,,1969,sureailabs,x,x,14
Lisowski,Michal,Michal Lisowski,Yes,x,Yes,x,"digital, scene, dark",,sureailabs,x,x,6
Lissitzky,El,El Lissitzky,Yes,x,,,,1941,sureailabs,x,x,16
List,Herbert,Herbert List,Yes,x,Yes,x,"photography, monochromatic, high contrast, surrealism",1975,sureailabs,x,x,10
Listfield,Scott,Scott Listfield,Yes,x,Yes,x,"realism, surrealism, scene",,sureailabs,x,x,7
Lively,Jim,Jim Lively,Yes,x,,,,,sureailabs,x,x,16
Lobanov,Ruslan,Ruslan Lobanov,Yes,x,,,,,sureailabs,x,x,16
Loboda,Taras,Taras Loboda,Yes,x,,,,,proximasan,x,x,12
Locher,Olivia,Olivia Locher,Yes,x,,,,,sureailabs,x,x,16
Lockertsen,Nikolai,Nikolai Lockertsen,Yes,x,,,,,sureailabs,x,x,16
Loftis,Cory,Cory Loftis,Yes,x,Yes,x,"digital, cartoon, whimsical",,sureailabs,x,x,6
Loir,Luigi,Luigi Loir,Yes,x,,,,1916,proximasan,x,x,12
Loiseau,Gustave,Gustave Loiseau,Yes,x,,,,1935,sureailabs,x,x,16
Long,Richard,Richard Long,Yes,x,,,,1974,sureailabs,x,x,14
Longhurst,Kathrin,Kathrin Longhurst,Yes,x,,,,,sureailabs,x,x,14
Lorrain,Claude,Claude Lorrain,Yes,x,,,,1682,sureailabs,x,x,14
Lorusso,Joseph,Joseph Lorusso,Yes,x,,,"scene, figurativism",,sureailabs,x,x,10
Lossel,Yoann,Yoann Lossel,Yes,x,Yes,x,,,proximasan,x,x,12
Louie,Travis,Travis Louie,Yes,x,,,"monochromatic, whimsical, dark",,sureailabs,x,x,6
Lovecraft,H.P.,H.P. Lovecraft,Yes,x,,,"horror, dark, monochromatic",1937,sureailabs,x,x,2
Lovering,Paul,Paul Lovering,Yes,x,,,,,proximasan,x,x,12
Lovett,Mark,Mark Lovett,Yes,x,,,"portrait, realism",,sureailabs,x,x,10
Lowry,L. S.,L. S. Lowry,Yes,x,,,,1976,sureailabs,x,x,15
Lubalin,Herb,Herb Lubalin,Yes,x,,,,1981,sureailabs,x,x,15
Lucas,George,George Lucas,Yes,x,,,"sci-fi, fantasy, scene",,sureailabs,x,x,2
Lucas,Sarah,Sarah Lucas,Yes,x,,,,,sureailabs,x,x,15
Luce,Maximilien,Maximilien Luce,Yes,x,Yes,x,"landscape, impressionism, vibrant",1941,sureailabs,x,x,8
Luepke,Heiner,Heiner Luepke,Yes,x,,,,,sureailabs,x,x,15
Luks,George,George Luks,Yes,x,Yes,x,"scene, realism, streetscape",1933,KyrickYoung,x,x,2
Lushpin,Evgeny,Evgeny Lushpin,Yes,x,Yes,x,,,proximasan,x,x,12
Lux,Loretta,Loretta Lux,Yes,x,No,x,"photography, portrait, surrealism",,proximasan,x,x,9
Lynch,Albert,Albert Lynch,Yes,x,,,"portrait, scene, romanticism",1950,sureailabs,x,x,8
Lynch,David,David Lynch,Yes,x,,,,,proximasan,x,x,12
Lynes,George Platt,George Platt Lynes,Yes,x,,,"nudity, photography,",1955,sureailabs,x,x,15
Lyon,Danny,Danny Lyon,Yes,x,,,,,proximasan,x,x,12
Maar,Dora,Dora Maar,Yes,x,,,"expressionism, monochromatic, high contrast",1997,sureailabs,x,x,3
Mably,Brandon,Brandon Mably,Yes,x,,,,,sureailabs,x,x,11
Macara,Andrew,Andrew Macara,Yes,x,,,,,sureailabs,x,x,11
Macke,August,August Macke,Yes,x,,,"expressionism, vibrant, scene",1914,sureailabs,x,x,4
Mackintosh,Charles Rennie,Charles Rennie Mackintosh,Yes,x,,,,1928,sureailabs,x,x,13
Mackintosh,Margaret Macdonald,Margaret Macdonald Mackintosh,Yes,x,,,"art nouveau, symbolism, messy",1933,sureailabs,x,x,4
Maclean,Rachel,Rachel Maclean,Yes,x,,,,,sureailabs,x,x,11
MacLeod,Pegi Nicol,Pegi Nicol MacLeod,Yes,x,,,,1949,sureailabs,x,x,11
Madgwick,Clive,Clive Madgwick,Yes,x,,,"landscape, realism",2005,sureailabs,x,x,6
Madgwick,Lee,Lee Madgwick,Yes,x,Yes,x,"dark, surrealism, landscape",,sureailabs,x,x,3
Madureira,Joe,Joe Madureira,Yes,x,Yes,x,"comics, detailed, fantasy",,sureailabs,x,x,8
Maes,Nicolaes,Nicolaes Maes,Yes,x,,,,1693,sureailabs,x,x,11
Magee,Fintan,Fintan Magee,Yes,x,Yes,x,"realism, scene, street art,",,sureailabs,x,x,11
Magritte,Rene,Rene Magritte,Yes,x,Yes,x,"surrealism, cloudscape, art deco, cubism, impressionism",1967,proximasan,x,x,1
Maher,Patty,Patty Maher,Yes,x,,,,,sureailabs,x,x,13
Mahfood,Jim,Jim Mahfood,Yes,x,,,"comics, vibrant, high contrast",,sureailabs,x,x,10
Maier,Vivian,Vivian Maier,Yes,x,,,"photography, monochromatic, portrait, scene",2009,sureailabs,x,x,10
Maimon,Isaac,Isaac Maimon,Yes,x,,,,,sureailabs,x,x,12
Maitz,Don,Don Maitz,Yes,x,Yes,x,"sci-fi, fantasy, detailed",,proximasan,x,x,1
Major,Akos,Akos Major,Yes,x,,,,,sureailabs,x,x,12
Majorelle,Louis,Louis Majorelle,Yes,x,,,,1926,sureailabs,x,x,12
Makabresku,Laura,Laura Makabresku,Yes,x,,,,,sureailabs,x,x,12
Makovsky,Nikolay,Nikolay Makovsky,Yes,x,Yes,x,"impressionism, realism, landscape, streetscape, portrait, romanticism",1886,sureailabs,x,x,12
Malczewski,Jacek,Jacek Malczewski,Yes,x,Yes,x,"symbolism, impressionism, art nouveau",1929,sureailabs,x,x,12
Maleev,Alex,Alex Maleev,Yes,x,,,"comics, fantasy, high contrast",,sureailabs,x,x,8
Malevich,Kazimir,Kazimir Malevich,Yes,x,,,"abstract, cubism, clean",1935,proximasan,x,x,2
Mallett,Keith,Keith Mallett,Yes,x,Yes,x,"melanin, figurativism, abstract, vibrant",,sureailabs,x,x,12
Malm,Michael,Michael Malm,Yes,x,Yes,x,"impressionism, scene",,sureailabs,x,x,12
Manara,Milo,Milo Manara,Yes,x,,,"comics, nudity, scene",,sureailabs,x,x,10
Mancini,Antonio,Antonio Mancini,Yes,x,,,,1930,sureailabs,x,x,16
Mandelbrot,Benoit B.,Benoit B. Mandelbrot,Yes,x,Yes,x,angular,2010,sureailabs,x,x,2
Manet,Édouard,Édouard Manet,Yes,x,,,"impressionism, realism, portrait, scene",1883,sureailabs,x,x,3
Manev,Marko,Marko Manev,Yes,x,,,,,sureailabs,x,x,16
Manguin,Henri,Henri Manguin,Yes,x,,,,1949,proximasan,x,x,12
Maniak,Slawomir,Slawomir Maniak,Yes,x,No,x,"fantasy, dark, scene",,sureailabs,x,x,15
Mankes,Jan,Jan Mankes,Yes,x,,,,1920,sureailabs,x,x,16
Mann,Clay,Clay Mann,Yes,x,,,,,sureailabs,x,x,16
Mann,David,David Mann,Yes,x,,,,2004,sureailabs,x,x,14
Mann,Jeremy,Jeremy Mann,Yes,x,,,"dark, messy, streetscape, portrait",,sureailabs,x,x,6
Mann,Sally,Sally Mann,Yes,x,,,"photography, nudity, scene",,sureailabs,x,x,6
Mantegna,Andrea,Andrea Mantegna,Yes,x,,,,1506,proximasan,x,x,12
Mapplethorpe,Robert,Robert Mapplethorpe,Yes,x,,,,1989,sureailabs,x,x,13
Marc,Franz,Franz Marc,Yes,x,,,"vibrant, expressionism, cubism",1916,sureailabs,x,x,4
Marchuk,Ivan,Ivan Marchuk,Yes,x,,,,,sureailabs,x,x,16
Marcoussis,Louis,Louis Marcoussis,Yes,x,,,,1941,sureailabs,x,x,13
Marden,Brice,Brice Marden,Yes,x,,,,,proximasan,x,x,12
Margetson,William Henry,William Henry Margetson,Yes,x,,,,1940,sureailabs,x,x,16
Mark,Mary Ellen,Mary Ellen Mark,Yes,x,Yes,x,"photography, monochromatic, scene",2015,sureailabs,x,x,12
Markin,Andrei,Andrei Markin,Yes,x,Yes,x,"impressionism, figurativism, scene, portrait",,sureailabs,x,x,12
Marquet,Albert,Albert Marquet,Yes,x,Yes,x,"fauvism, landscape, seascape",1947,sureailabs,x,x,12
Mars,Chris,Chris Mars,Yes,x,Yes,x,"surrealism, dark, fantasy",,sureailabs,x,x,6
Marseus van Schrieck,Otto,Otto Marseus van Schrieck,Yes,x,,,"baroque, dark, flowers",1678,sureailabs,x,x,6
Marsh,Reginald,Reginald Marsh,Yes,x,,,"detailed, realism, scene, dark",1954,sureailabs,x,x,10
Marshall,Kerry James,Kerry James Marshall,Yes,x,Yes,x,"melanin, collage, scene, portrait",,sureailabs,x,x,12
Marshennikov,Serge,Serge Marshennikov,Yes,x,,,"realism, portrait, scene",,proximasan,x,x,10
Marsone,Meredith,Meredith Marsone,Yes,x,,,,,sureailabs,x,x,12
Martin,Agnes,Agnes Martin,Yes,x,,,,2004,sureailabs,x,x,12
Martin,John,John Martin,Yes,x,Yes,x,"landscape, romanticism, dark",1854,KyrickYoung,x,x,1
Martinakis,Adam,Adam Martinakis,Yes,x,,,"digital, 3D, sculpture",,sureailabs,x,x,9
Martinière,Stephan,Stephan Martinière,Yes,x,Yes,x,"sci-fi, fantasy, landscape, dark",,KyrickYoung,x,x,10
Masaccio,, Masaccio,Yes,x,,,,1428,sureailabs,x,x,14
Mashburn,Brian,Brian Mashburn,Yes,x,Yes,x,"landscape, dark, nature, monochromatic",,sureailabs,x,x,10
Mashkov,Ilya,Ilya Mashkov,Yes,x,,,,1944,sureailabs,x,x,14
Masson,André,André Masson,Yes,x,Yes,x,"surrealism, cubism, expressionism",1987,sureailabs,x,x,3
Matejko,Jan,Jan Matejko,Yes,x,,,,1893,sureailabs,x,x,14
Matisse,Henri,Henri Matisse,Yes,x,Yes,x,"fauvism, impressionism",1954,sureailabs,x,x,3
Matsumoto,Leiji,Leiji Matsumoto,Yes,x,Yes,x,"manga, comics",,sureailabs,x,x,6
Matsumoto,Taiyō,Taiyō Matsumoto,Yes,x,Yes,x,"manga, comics",,proximasan,x,x,5
Matsuyama,Tomokazu,Tomokazu Matsuyama,Yes,x,,,,,sureailabs,x,x,15
Matta,Roberto,Roberto Matta,Yes,x,Yes,x,"abstract, expressionism, surrealism",2002,sureailabs,x,x,3
Matthews,Rodney,Rodney Matthews,Yes,x,Yes,x,"fantasy, sci-fi,",,sureailabs,x,x,3
Mattingly,David B.,David B. Mattingly,Yes,x,No,x,"sci-fi, fantasy,",,sureailabs,x,x,3
Matutina,Dan,Dan Matutina,Yes,x,,,,,sureailabs,x,x,11
Maufra,Maxime,Maxime Maufra,Yes,x,,,,1918,sureailabs,x,x,15
Mauve,Anton,Anton Mauve,Yes,x,,,,1888,sureailabs,x,x,14
Max,Peter,Peter Max,Yes,x,Yes,x,"colorful, abstract, vibrant",,EErratica,x,x,1
Maxence,Edgar,Edgar Maxence,Yes,x,,,,1954,sureailabs,x,x,14
Mayhew,Mike,Mike Mayhew,Yes,x,,,"comics, fantasy, portrait",,sureailabs,x,x,8
Mayne,Thom,Thom Mayne,Yes,x,,,,,sureailabs,x,x,14
Mazzoni,Marco,Marco Mazzoni,Yes,x,Yes,x,"dark, detailed, flowers",,proximasan,x,x,4
McCaffrey,Anne,Anne McCaffrey,Yes,x,,,"dragons, fantasy, sci-fi",2011,sureailabs,x,x,10
McCall,Robert,Robert McCall,Yes,x,Yes,x,"space, sci-fi",2010,proximasan,x,x,1
McCarthy,Frank,Frank McCarthy,Yes,x,,,,2002,sureailabs,x,x,15
McCay,Winsor,Winsor McCay,Yes,x,,,,1934,sureailabs,x,x,15
McCloud,Scott,Scott McCloud,Yes,x,,,,,sureailabs,x,x,16
McCracken,Craig,Craig McCracken,Yes,x,,,,,sureailabs,x,x,16
McCurry,Steve,Steve McCurry,Yes,x,,,,,sureailabs,x,x,16
McFarlane,Todd,Todd McFarlane,Yes,x,,,"comics, fantasy, dark",,sureailabs,x,x,6
McGee,Barry,Barry McGee,Yes,x,,,,,sureailabs,x,x,15
McGinley,Ryan,Ryan McGinley,Yes,x,,,"photograpy, vibrant, scene",,sureailabs,x,x,7
McGinnis,Robert,Robert McGinnis,Yes,x,Yes,x,"character, scene",,sureailabs,x,x,10
McGuire,Richard,Richard McGuire,Yes,x,,,"comics, children's illustration, clean",,sureailabs,x,x,10
McHale,Patrick,Patrick McHale,Yes,x,,,,,sureailabs,x,x,15
McKay,Philip,Philip McKay,Yes,x,,,,,sureailabs,x,x,16
McKean,Dave,Dave McKean,Yes,x,,,"dark, collage, figurativism",,sureailabs,x,x,4
McKelvie,Jamie,Jamie McKelvie,Yes,x,,,"comics, cartoon, clean, character",,sureailabs,x,x,10
McKenney,Christopher Ryan,Christopher Ryan McKenney,Yes,x,,,,,sureailabs,x,x,16
McKernan,Kelly,Kelly McKernan,Yes,x,Yes,x,"magic realism, whimsical, watercolor, portrait",,sureailabs,x,x,4
McKie,Angus,Angus McKie,Yes,x,Yes,x,"vibrant, sci-fi, fantasy, detailed",,sureailabs,x,x,6
McMaster,Meryl,Meryl McMaster,Yes,x,,,"photography, scene, landscape",,sureailabs,x,x,9
McPharlin,Dan,Dan McPharlin,Yes,x,Yes,x,"sci-fi, vibrant, surrealism",,sureailabs,x,x,11
McPherson,Tara,Tara McPherson,Yes,x,Yes,x,"pop art, surrealism, portrait",,proximasan,x,x,9
McQuarrie,Ralph,Ralph McQuarrie,Yes,x,Yes,x,"sci-fi, landscape, scene, clean",2012,KyrickYoung,x,x,1
McQue,Ian,Ian McQue,Yes,x,,,"sci-fi, fantasy, messy,",,sureailabs,x,x,6
Mead,Syd,Syd Mead,Yes,x,Yes,x,"sci-fi, abstract, angular",2019,KyrickYoung,x,x,1
Medcalf,Bill,Bill Medcalf,Yes,x,,,"portrait, character, scene",2005,sureailabs,x,x,8
Meier,Richard,Richard Meier,Yes,x,,,,,sureailabs,x,x,16
Meireles,Cildo,Cildo Meireles,Yes,x,,,,,proximasan,x,x,11
Meisel,Steven,Steven Meisel,Yes,x,,,,,sureailabs,x,x,16
Meissonier,Ernest,Ernest Meissonier,Yes,x,,,,1891,sureailabs,x,x,16
Melchers,Gari,Gari Melchers,Yes,x,,,,1932,sureailabs,x,x,16
Mell,Ed,Ed Mell,Yes,x,,,"landscape, high contrast",,sureailabs,x,x,10
Mellin,Charles,Charles Mellin,Yes,x,,,,1649,sureailabs,x,x,16
Melmoth,Emil,Emil Melmoth,Yes,x,Yes,x,"dark, surrealism, figurativism, sculpture",,sureailabs,x,x,15
Memling,Hans,Hans Memling,Yes,x,,,,1494,sureailabs,x,x,16
Mendoza,Eddie,Eddie Mendoza,Yes,x,Yes,x,"digital, landscape, detailed, dark",,sureailabs,x,x,6
Mengs,Anton Raphael,Anton Raphael Mengs,Yes,x,,,,1779,sureailabs,x,x,16
Menzel,Adolph,Adolph Menzel,Yes,x,,,"dark, impressionism",1905,sureailabs,x,x,6
Merian,Maria Sibylla,Maria Sibylla Merian,Yes,x,Yes,x,"biological, nature",1717,sureailabs,x,x,2
Merle,Hugues,Hugues Merle,Yes,x,,,,1881,sureailabs,x,x,16
Merlo,Monia,Monia Merlo,Yes,x,Yes,x,"fashion, photography, romanticism, nudity",,sureailabs,x,x,12
Merriam,Daniel,Daniel Merriam,Yes,x,Yes,x,"whimsical, detailed",,sureailabs,x,x,4
Metcalf,Willard,Willard Metcalf,Yes,x,,,,1925,sureailabs,x,x,11
Metzinger,Jean,Jean Metzinger,Yes,x,Yes,x,"cubism, abstract, vibrant",1956,sureailabs,x,x,3
Meyerdierks,Carsten,Carsten Meyerdierks,Yes,x,Yes,x,"photography, landscape",,sureailabs,x,x,11
Michelangelo,, Michelangelo,Yes,x,Yes,x,renaissance,1564,sureailabs,x,x,3
Mignard,Nicolas,Nicolas Mignard,Yes,x,Yes,x,"baroque, portrait, scene",1668,sureailabs,x,x,9
Mignola,Mike,Mike Mignola,Yes,x,Yes,x,"comics, dark, high contrast",,sureailabs,x,x,6
Mili,Gjon,Gjon Mili,Yes,x,Yes,x,"photography, high contrast",1984,sureailabs,x,x,8
Millar,Alexander,Alexander Millar,Yes,x,,,,,sureailabs,x,x,16
Millen,Anja,Anja Millen,Yes,x,,,,,proximasan,x,x,12
Miller,Frank,Frank Miller,Yes,x,No,x,"comics, dark, high contrast",,KyrickYoung,x,x,1
Miller,Ian,Ian Miller,Yes,x,,,"detailed, high contrast, monochromatic",,sureailabs,x,x,4
Miller,Marjorie,Marjorie Miller,Yes,x,,,,1995,sureailabs,x,x,11
Miller,Richard E.,Richard E. Miller,Yes,x,,,,1943,sureailabs,x,x,16
Millet,Francis Davis,Francis Davis Millet,Yes,x,,,,1912,sureailabs,x,x,16
Millet,Jean-François,Jean-François Millet,Yes,x,Yes,x,"realism, landscape, scene",1875,sureailabs,x,x,10
Milligan,Peter,Peter Milligan,Yes,x,Yes,x,comics,,sureailabs,x,x,10
Mills,Russ,Russ Mills,Yes,x,Yes,x,"high contrast, dark, abstract, messy",,sureailabs,x,x,6
Milne,David Brown,David Brown Milne,Yes,x,,,,1953,sureailabs,x,x,16
Miró,Joan,Joan Miró,Yes,x,Yes,x,abstract,1983,sureailabs,x,x,3
Mirza,Haroon,Haroon Mirza,Yes,x,Yes,x,"installation, angular",,sureailabs,x,x,10
Misrach,Richard,Richard Misrach,Yes,x,,,,,sureailabs,x,x,16
Mistric,Trish,Trish Mistric,Yes,x,,,,,proximasan,x,x,12
Mitchell,Joan,Joan Mitchell,Yes,x,,,,1992,sureailabs,x,x,16
Mitchell,Kirsty,Kirsty Mitchell,Yes,x,,,,,sureailabs,x,x,16
Mitchev,Peter,Peter Mitchev,Yes,x,,,,,sureailabs,x,x,16
Miura,Kentaro,Kentaro Miura,Yes,x,Yes,x,"textured, dark, high contrast",2021,sureailabs,x,x,6
Miyazaki,Hayao,Hayao Miyazaki,Yes,x,Yes,x,"whimsical, anime, children's illustration",,sureailabs,x,x,2
Model,Lisette,Lisette Model,Yes,x,,,"photography,",1983,sureailabs,x,x,15
Modersohn-Becker,Paula,Paula Modersohn-Becker,Yes,x,,,"portrait, expressionism, impressionism",1907,sureailabs,x,x,4
Modigliani,Amedeo,Amedeo Modigliani,Yes,x,,,"expressionism, fauvism, portrait",1920,sureailabs,x,x,3
Modlin,Margaret,Margaret Modlin,Yes,x,,,"surrealism, scene",1998,EErratica,x,x,2
Moebius,, Moebius,Yes,x,Yes,x,"comics, psychedelic, surrealism, fantasy, sci-fi",2012,sureailabs,x,x,1
Moholy-Nagy,László,László Moholy-Nagy,Yes,x,,,"bauhaus, abstract, high contrast, graphic design",1946,sureailabs,x,x,10
Mohrbacher,Peter,Peter Mohrbacher,Yes,x,Yes,x,"detailed, surrealism, fantasy",,KyrickYoung,x,x,2
Mondrian,Piet,Piet Mondrian,Yes,x,Yes,x,"cubism, vibrant, angular",1944,proximasan,x,x,2
Monet,Claude,Claude Monet,Yes,x,Yes,x,"impressionism, landscape, seascape",1926,EErratica,x,x,2
Monge,Jean-Baptiste,Jean-Baptiste Monge,Yes,x,Yes,x,"dark, fantasy, detailed",,proximasan,x,x,5
Monkman,Kent,Kent Monkman,Yes,x,Yes,x,"landscape, scenes, realism",,sureailabs,x,x,6
Monks,Alyssa,Alyssa Monks,Yes,x,Yes,x,"figurativism, portrait, photorealism",,sureailabs,x,x,6
Moon,Sailor,Sailor Moon,Yes,x,Yes,x,"vibrant, clean, anime",,proximasan,x,x,4
Moore,Alan,Alan Moore,Yes,x,,,"comics, dark, sci-fi, horror, fantasy",,sureailabs,x,x,10
Moore,Albert Joseph,Albert Joseph Moore,Yes,x,,,,1893,proximasan,x,x,11
Moore,Chris,Chris Moore,Yes,x,Yes,x,"sci-fi, scene, high contrast",,proximasan,x,x,1
Moore,Henry,Henry Moore,Yes,x,,,,1986,sureailabs,x,x,11
Moore,Tony,Tony Moore,Yes,x,,,"comics, horror, sci-fi",,sureailabs,x,x,10
Mora,Briana,Briana Mora,Yes,x,,,,,proximasan,x,x,12
Moralis,Yiannis,Yiannis Moralis,Yes,x,Yes,x,"abstract, cubism, expressionism",2009,sureailabs,x,x,9
Moran,Edward,Edward Moran,Yes,x,,,,1901,sureailabs,x,x,15
Moran,Thomas,Thomas Moran,Yes,x,Yes,x,"landscape, luminism",1926,EErratica,x,x,9
Morandi,Giorgio,Giorgio Morandi,Yes,x,,,,1964,sureailabs,x,x,15
Moreau,Gustave,Gustave Moreau,Yes,x,Yes,x,"detailed, dark, symbolism",1898,proximasan,x,x,4
Moret,Henry,Henry Moret,Yes,x,Yes,x,"landscape, impressionism",1913,sureailabs,x,x,10
Morgan,Gwenda,Gwenda Morgan,Yes,x,,,"monochromatic, high contrast, landscape",1991,proximasan,x,x,9
Morisot,Berthe,Berthe Morisot,Yes,x,,,,1895,sureailabs,x,x,15
Moriyama,Daido,Daido Moriyama,Yes,x,,,,,proximasan,x,x,12
Morland,George,George Morland,Yes,x,,,,1804,sureailabs,x,x,15
Morley,Lewis,Lewis Morley,Yes,x,,,"photography,",2013,sureailabs,x,x,14
Moross,Aries,Aries Moross,Yes,x,,,,,proximasan,x,x,12
Morrice,James Wilson,James Wilson Morrice,Yes,x,,,,1924,sureailabs,x,x,11
Morris,Desmond,Desmond Morris,Yes,x,Yes,x,"surrealism, whimsical",,proximasan,x,x,10
Morris,Sarah,Sarah Morris,Yes,x,,,,,sureailabs,x,x,14
Morris,William,William Morris,Yes,x,,,"textile, detailed, art nouveau",1896,sureailabs,x,x,6
Morrison,Grant,Grant Morrison,Yes,x,,,,,sureailabs,x,x,14
Morrison,John Lowrie,John Lowrie Morrison,Yes,x,,,,,sureailabs,x,x,14
Morski,Igor,Igor Morski,Yes,x,Yes,x,"collage, surrealism, portrait",,EErratica,x,x,2
Mortensen,John Kenn,John Kenn Mortensen,Yes,x,,,"children's illustration, dark, horror, monochromatic,",,sureailabs,x,x,6
Moscoso,Victor,Victor Moscoso,Yes,x,Yes,x,"vibrant, psychedelic, clean",,EErratica,x,x,2
Moses,Grandma,Grandma Moses,Yes,x,,,"primitivism, landscape",1961,sureailabs,x,x,7
Mosina,Inna,Inna Mosina,Yes,x,,,,,proximasan,x,x,11
Motherwell,Robert,Robert Motherwell,Yes,x,,,"abstract, expressionism, high contrast",1991,sureailabs,x,x,4
Moureaux,Emmanuelle,Emmanuelle Moureaux,Yes,x,,,"installation, colorful, vibrant",,sureailabs,x,x,8
Mucha,Alphonse,Alphonse Mucha,Yes,x,Yes,x,"art nouveau, portrait",1939,EErratica,x,x,1
Mueck,Ron,Ron Mueck,Yes,x,Yes,x,"sculpture, realism,",,EErratica,x,x,9
Mullins,Craig,Craig Mullins,Yes,x,Yes,x,"dark, detailed, fantasy",,EErratica,x,x,2
Mulready,Augustus Edwin,Augustus Edwin Mulready,Yes,x,,,"romanticism, scene",1886,sureailabs,x,x,6
Mumford,Dan,Dan Mumford,Yes,x,Yes,x,"digital, vibrant, fantasy, psychedelic, clean",,KyrickYoung,x,x,1
Munari,Bruno,Bruno Munari,Yes,x,,,"bauhaus, graphic design, abstract, high contrast,",1998,sureailabs,x,x,10
Munch,Edvard,Edvard Munch,Yes,x,,,"expressionism, symbolism, impressionism",1944,sureailabs,x,x,3
Muniz,Vik,Vik Muniz,Yes,x,,,,,sureailabs,x,x,16
Munnings,Alfred,Alfred Munnings,Yes,x,,,,1959,proximasan,x,x,12
Munro,Bruce,Bruce Munro,Yes,x,Yes,x,"installation, light,",,sureailabs,x,x,9
Münter,Gabriele,Gabriele Münter,Yes,x,,,"vibrant, expressionism,",1962,sureailabs,x,x,4
