surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Averin,Alexandr,Alexandr Averin,Yes,x,Yes,x,"scene, impressionism",,sureailabs,x,x,8
Avery,Milton,Milton Avery,Yes,x,Yes,x,"low contrast, abstract",1965,sureailabs,x,x,4
Avery,Tex,Tex Avery,Yes,x,Yes,x,"whimsical, storybook realism",1980,sureailabs,x,x,5
Azzopardi,Deborah,Deborah Azzopardi,Yes,x,Yes,x,"pop art, cartoon, vibrant",,sureailabs,x,x,13
Baade,Carrie Ann,Carrie Ann Baade,Yes,x,Yes,x,"detailed, surrealism, pop art",,sureailabs,x,x,14
Baars,Ingrid,Ingrid Baars,Yes,x,Yes,x,"high contrast, photography, dark, portrait, monochromatic",,proximasan,x,x,10
Bachalo,Chris,Chris Bachalo,Yes,x,Yes,x,"comics, high contrast",,sureailabs,x,x,14
Bachelier,Anne,Anne Bachelier,Yes,x,Yes,x,"portrait, surrealism",,sureailabs,x,x,14
Backer,Harriet,Harriet Backer,Yes,x,Yes,x,"scene, impressionism",1932,sureailabs,x,x,5
Bacon,Francis,Francis Bacon,Yes,x,Yes,x,"expressionism,",1992,EErratica,x,x,1
Baes,Firmin,Firmin Baes,Yes,x,Yes,x,"impressionism, portrait, still life, landscape",1943,sureailabs,x,x,15
Bagge,Peter,Peter Bagge,Yes,x,Yes,x,"comics, whimsical, high contrast",,sureailabs,x,x,5
Bagshaw,Tom,Tom Bagshaw,Yes,x,Yes,x,"character, dark, fantasy, scene",,sureailabs,x,x,5
Baheux,Laurent,Laurent Baheux,Yes,x,Yes,x,"photography, monochromatic, high contrast, nature, animals, landscape",,sureailabs,x,x,15
Bailey,David,David Bailey,Yes,x,No,x,"photography,",,sureailabs,x,x,15
Bailly,Alice,Alice Bailly,Yes,x,Yes,x,"cubism, high contrast, fauvism",1938,proximasan,x,x,9
Bak,Karol,Karol Bak,Yes,x,Yes,x,"character, vibrant",,sureailabs,x,x,1
Bakshi,Ralph,Ralph Bakshi,Yes,x,Yes,x,cartoon,,sureailabs,x,x,13
Bakst,Léon,Léon Bakst,Yes,x,Yes,x,"romanticism, art nouveau",1924,sureailabs,x,x,13
Balaskas,Christopher,Christopher Balaskas,Yes,x,Yes,x,"vibrant, digital, landscape, sci-fi, space",,sureailabs,x,x,5
Baldridge,Jamie,Jamie Baldridge,Yes,x,Yes,x,"photography, dark",,sureailabs,x,x,9
Baldung,Hans,Hans Baldung,Yes,x,Yes,x,"renaissance,",1545,KyrickYoung,x,x,2
Balfour,Ronald,Ronald Balfour,Yes,x,Yes,x,"art deco, art nouveau, watercolor",1941,sureailabs,x,x,7
Balivet,Emily,Emily Balivet,Yes,x,Yes,x,"detailed, art nouveau, colorful",,sureailabs,x,x,13
Balke,Peder,Peder Balke,Yes,x,Yes,x,"landscape, seascape, cloudscape",1887,sureailabs,x,x,11
Balla,Giacomo,Giacomo Balla,Yes,x,Yes,x,"cubism, abstract",1958,sureailabs,x,x,7
Balthus,, Balthus,Yes,x,Yes,x,"scene, dark, watercolor",2001,sureailabs,x,x,11
Baluschek,Hans,Hans Baluschek,Yes,x,Yes,x,"dark, cityscape, realism",1935,sureailabs,x,x,10
Bana,Benedick,Benedick Bana,Yes,x,Yes,x,"character, sci-fi, messy, monochromatic, 3d",,sureailabs,x,x,11
Banksy,, Banksy,Yes,x,Yes,x,"street art, graffiti, high contrast",,sureailabs,x,x,1
Barbarelli da Castelfranco,Giorgio,Giorgio Barbarelli da Castelfranco,Yes,x,Yes,x,"scene, portrait, renaissance",1510,sureailabs,x,x,11
Barbey,Thomas,Thomas Barbey,Yes,x,Yes,x,"photography, monochromatic, surrealism",,sureailabs,x,x,13
Barbier,George,George Barbier,Yes,x,Yes,x,"art deco, art nouveau",1932,sureailabs,x,x,12
Barker,Cicely Mary,Cicely Mary Barker,Yes,x,Yes,x,"fantasy, whimsical, character",1973,sureailabs,x,x,5
Barker,Clive,Clive Barker,Yes,x,Yes,x,"expressionism, pop art, abstract",,sureailabs,x,x,12
Barks,Carl,Carl Barks,Yes,x,Yes,x,"cartoon,",2000,sureailabs,x,x,5
Barlach,Ernst,Ernst Barlach,Yes,x,Yes,x,"realism, expressionism, monochromatic, art nouveau",1938,sureailabs,x,x,12
Barlow,Phyllida,Phyllida Barlow,Yes,x,Yes,x,"sculpture, installation, expressionism",,sureailabs,x,x,12
Barlowe,Wayne,Wayne Barlowe,Yes,x,Yes,x,"sci-fi, fantasy, dark,",,KyrickYoung,x,x,2
Barnes,Ernie,Ernie Barnes,Yes,x,Yes,x,"melanin, scene, expressionism",2009,proximasan,x,x,10
Barnet,Will,Will Barnet,Yes,x,Yes,x,"high contrast, scene",2012,sureailabs,x,x,8
Barney,Matthew,Matthew Barney,Yes,x,Yes,x,"photography, surrealism, sculpture",,sureailabs,x,x,15
Barns-Graham,Wilhelmina,Wilhelmina Barns-Graham,Yes,x,Yes,x,abstract,2004,proximasan,x,x,13
Barrett,Angela,Angela Barrett,Yes,x,Yes,x,"children's illustration, scene",,proximasan,x,x,13
Barry,Lynda,Lynda Barry,Yes,x,Yes,x,"cartoon, messy",,sureailabs,x,x,9
Barson,Paul,Paul Barson,Yes,x,Yes,x,"dark, photography",,sureailabs,x,x,9
Bartlett,Bo,Bo Bartlett,Yes,x,Yes,x,"realism, scene, clean",,proximasan,x,x,10
Basch,Peter,Peter Basch,Yes,x,Yes,x,"photography, monochromatic, figurativism",2004,proximasan,x,x,13
Baselitz,Georg,Georg Baselitz,Yes,x,Yes,x,"messy, expressionism, figurativism",,proximasan,x,x,12
Baseman,Gary,Gary Baseman,Yes,x,Yes,x,"pop art, surrealism, cartoon",,sureailabs,x,x,14
Basquiat,Jean-Michel,Jean-Michel Basquiat,Yes,x,Yes,x,"expressionism, messy",1988,sureailabs,x,x,1
Bassano,Jacopo,Jacopo Bassano,Yes,x,Yes,x,"renaissance, scene",1592,proximasan,x,x,13
Basse,Willem,Willem Basse,Yes,x,Yes,x,romanticism,1653,proximasan,x,x,13
Bassman,Lillian,Lillian Bassman,Yes,x,Yes,x,"photography, monochromatic, fashion, portrait, character",2012,proximasan,x,x,12
Bastien-Lepage,Jules,Jules Bastien-Lepage,Yes,x,Yes,x,"realism, impressionism",1884,sureailabs,x,x,5
Bateman,Robert,Robert Bateman,Yes,x,Yes,x,"animals, nature, realism",,proximasan,x,x,13
Bates,David,David Bates,Yes,x,Yes,x,"high contrast, landscape",1921,sureailabs,x,x,7
Batho,John,John Batho,Yes,x,Yes,x,"photography, abstract, monochromatic, high contrast",,proximasan,x,x,13
Batoni,Pompeo,Pompeo Batoni,Yes,x,Yes,x,"baroque, portrait, scene",1787,sureailabs,x,x,12
Bauer,John,John Bauer,Yes,x,Yes,x,"whimsical, watercolor,",1918,KyrickYoung,x,x,2
Baugh,Casey,Casey Baugh,Yes,x,Yes,x,"portrait, expressionism, realism",,sureailabs,x,x,11
Baumann,Gustave,Gustave Baumann,Yes,x,Yes,x,"realism, landscape, nature",1971,sureailabs,x,x,11
Baumeister,Willi,Willi Baumeister,Yes,x,Yes,x,abstract,1955,sureailabs,x,x,12
Bawden,Edward,Edward Bawden,Yes,x,Yes,x,"watercolor, landscape, cityscape",1989,proximasan,x,x,13
Bayer,Herbert,Herbert Bayer,Yes,x,Yes,x,"graphic design, colorful, vibrant, bauhaus",1985,proximasan,x,x,12
Bazille,Frederic,Frederic Bazille,Yes,x,Yes,x,"impressionism, scene, still life",1870,proximasan,x,x,12
Beal,Gifford,Gifford Beal,Yes,x,Yes,x,impressionism,1956,sureailabs,x,x,9
Beale,Mary,Mary Beale,Yes,x,Yes,x,"portrait, realism, baroque",1699,proximasan,x,x,12
Bean,Alan,Alan Bean,Yes,x,Yes,x,"space, personality, sci-fi",2018,proximasan,x,x,12
Bearden,Romare,Romare Bearden,Yes,x,Yes,x,"realism, cubism, vibrant, expressionism, melanin",1988,sureailabs,x,x,12
Beardsley,Aubrey,Aubrey Beardsley,Yes,x,Yes,x,"high contrast, art nouveau",1898,sureailabs,x,x,5
Beaton,Cecil,Cecil Beaton,Yes,x,Yes,x,"photography, portrait, monochromatic, fashion",1980,sureailabs,x,x,12
Beaton,Kate,Kate Beaton,Yes,x,Yes,x,"comics, cartoon",,sureailabs,x,x,9
Beauvarlet,Jacques-Firmin,Jacques-Firmin Beauvarlet,Yes,x,Yes,x,romanticism,1797,sureailabs,x,x,12
Beaux,Cecilia,Cecilia Beaux,Yes,x,Yes,x,"impressionism, portrait",1942,sureailabs,x,x,12
Bechdel,Alison,Alison Bechdel,Yes,x,Yes,x,"comics, cartoon",,sureailabs,x,x,12
Becket-Griffith,Jasmine,Jasmine Becket-Griffith,Yes,x,Yes,x,"fantasy, portrait, whimsical, vibrant",,sureailabs,x,x,7
Beckmann,Max,Max Beckmann,Yes,x,Yes,x,"high contrast, expressionism",1950,sureailabs,x,x,3
Beecroft,Vanessa,Vanessa Beecroft,Yes,x,Yes,x,"nudity, character, portrait, photography",,proximasan,x,x,12
Beeple,, Beeple,Yes,x,Yes,x,digital,,sureailabs,x,x,1
Beksiński,Zdzisław,Zdzisław Beksiński,Yes,x,Yes,x,"surrealism, dark, horror,",2005,sureailabs,x,x,1
Bell,Julie,Julie Bell,Yes,x,Yes,x,"fantasy, nature, dragons",,KyrickYoung,x,x,2
Bell,Vanessa,Vanessa Bell,Yes,x,Yes,x,"fauvism, portrait",1961,proximasan,x,x,13
Bellmer,Hans,Hans Bellmer,Yes,x,Yes,x,"photography, dark, surrealism",1975,KyrickYoung,x,x,2
Bellotto,Bernardo,Bernardo Bellotto,Yes,x,Yes,x,"landscape, cityscape, architecture",1780,proximasan,x,x,12
Bellows,George,George Bellows,Yes,x,Yes,x,"realism, impressionism",1925,sureailabs,x,x,14
Benglis,Lynda,Lynda Benglis,Yes,x,Yes,x,"sculpture, installation, colorful, abstract",,proximasan,x,x,12
Benjamin-Constant,Jean-Joseph,Jean-Joseph Benjamin-Constant,Yes,x,Yes,x,"romanticism, scene, character",1902,proximasan,x,x,12
Benois,Albert,Albert Benois,Yes,x,Yes,x,"landscape, watercolor, romanticism",1936,sureailabs,x,x,13
Benois,Alexandre,Alexandre Benois,Yes,x,Yes,x,"scene, landscape, watercolor",1960,proximasan,x,x,12
Benson,Ambrosius,Ambrosius Benson,Yes,x,Yes,x,"renaissance, portrait, scene",1550,proximasan,x,x,12
Benson,Frank Weston,Frank Weston Benson,Yes,x,Yes,x,"impressionism, scene",1951,proximasan,x,x,12
Benton,Thomas Hart,Thomas Hart Benton,Yes,x,Yes,x,"realism, scene",1975,sureailabs,x,x,15
Berenstain,Stan,Stan Berenstain,Yes,x,No,x,"children's illustration, cartoon",2005,sureailabs,x,x,13
Bergh,Richard,Richard Bergh,Yes,x,Yes,x,"landscape, portrait, romanticism",1919,proximasan,x,x,12
Bergland,Don,Don Bergland,Yes,x,Yes,x,surrealism,,sureailabs,x,x,15
Bergsma,Jody,Jody Bergsma,Yes,x,Yes,x,"watercolor, fantasy, detailed, whimsical",,sureailabs,x,x,15
