address,lat,long
"62 Kings Hall, Chapelizod",53.347531000000004,-6.341654096756789
"74 The Park, Beaumont Woods, Beaumont Dublin 9",,
"78 Glenaulin Green, Palmerstown",,
"8 Hastings Court, Balbriggan, County Dublin",53.6134335,-6.212488099999999
"9 Foxborough Green, Lucan",,
"9 Kilgobbin Lawn, Stepaside",,
"90 Sycamore Road, Finglas",53.3954618,-6.291491099999999
"99 Ashlea Grove, Killea",,
"Apartment 69, Block E, Macdonagh Junction",,
"APARTMENT NO.14, JOHNS LANE APARTMENTS, JOHN'S LANE",,
"APARTMENT NO.7, JOHN'S LANE APARTMENTS, JOHN'S LANE",,
"Apt 18, Eglington Court, Galway",,
"Apt 67 Rosanule, Phoenix Park Racecourse, Castleknock",,
"Apt 83 Crosbies Yard, Ossory Road, Dublin 3",,
"ballygaddy, sharavogue, birr",,
"Ballyroan House, Harbour road, Kilbeggan",,
"Donagh, Glaslough",54.31277935,-6.91593897461667
"Lannaght, Dromindoora, Caher",,
"Main Street, Shinrone, Birr",52.984897399999994,-7.91915906037621
"MULLACAPPLE, COLLON",53.8029497,-6.5002858
"No 9 The Steeples, Gowran",52.6298007,-7.0672826
"Sounagh, Portumna",,
"The Bungalow, Gneeves, Boherbue",,
"1 Ardagh, Bere Island Holiday Cottages, Bere Island  Cork",,
"1 Ashfield Road, Ranelagh, Dublin 6",,
"1 Pearse Park, Clonmel",,
"1 Seabrook, Brook Lane, Rush",,
"10 Monterey Court, Salthill, Galway City",53.26103235,-9.07388236225597
"11 Ard Alainn, Croaghross, Portsalon",,
"11 Ashbrook, Avenue Road, Dundalk",,
"11 Marwood, Riverstown, Glanmire",51.9268104,-8.3828124
"12 Glencairn Copse, The Gallops, Leopardstown",,
"14 Beech Drive, Johnstown Wood, Navan",,
"14 Earls Court, Ballymote, County Sligo",,
"14 EARLS COURT, STONEPARK, BALLYMOTE",,
"175 Churchfields, Ashbourne",53.5076535,-6.4047757
"18 Lower Albert Road, Sandycove",,
"18 Rathcallan Wood, Ladysbridge, Co. Cork",,
"19 Loughcrew Hills, Oldcastle",,
"2 Pinewood Estate, Wexford",,
