date,sex,year,deaths
2008-08-04,F,2008,22
2008-08-04,M,2008,33
2008-08-05,F,2008,44
2008-08-05,M,2008,34
2008-08-06,F,2008,31
2008-08-06,M,2008,32
2008-08-07,F,2008,30
2008-08-07,M,2008,28
2008-08-08,F,2008,27
2008-08-08,M,2008,29
2008-08-09,F,2008,27
2008-08-09,M,2008,33
2008-08-10,F,2008,32
2008-08-10,M,2008,35
2008-08-11,F,2008,31
2008-08-11,M,2008,38
2008-08-12,F,2008,33
2008-08-12,M,2008,38
2008-08-13,F,2008,32
2008-08-13,M,2008,29
2008-08-14,F,2008,32
2008-08-14,M,2008,48
2008-08-15,F,2008,26
2008-08-15,M,2008,36
2008-08-16,F,2008,36
2008-08-16,M,2008,54
2008-08-17,F,2008,35
2008-08-17,M,2008,38
2008-08-18,F,2008,36
2008-08-18,M,2008,40
2008-08-19,F,2008,23
2008-08-19,M,2008,41
2008-08-20,F,2008,37
2008-08-20,M,2008,34
2008-08-21,F,2008,33
2008-08-21,M,2008,28
2008-08-22,F,2008,30
2008-08-22,M,2008,33
2008-08-23,F,2008,42
2008-08-23,M,2008,36
2008-08-24,F,2008,30
2008-08-24,M,2008,34
2008-08-25,F,2008,28
2008-08-25,M,2008,32
2008-08-26,F,2008,29
2008-08-26,M,2008,32
2008-08-27,F,2008,28
2008-08-27,M,2008,24
2008-08-28,F,2008,40
2008-08-28,M,2008,31
2008-08-29,F,2008,24
2008-08-29,M,2008,29
2008-08-30,F,2008,38
2008-08-30,M,2008,35
2008-08-31,F,2008,36
2008-08-31,M,2008,41
2008-09-01,F,2008,27
2008-09-01,M,2008,39
2008-09-02,F,2008,31
2008-09-02,M,2008,26
2008-09-03,F,2008,44
2008-09-03,M,2008,44
2008-09-04,F,2008,31
2008-09-04,M,2008,41
2008-09-05,F,2008,37
2008-09-05,M,2008,35
2008-09-06,F,2008,34
2008-09-06,M,2008,28
2008-09-07,F,2008,26
2008-09-07,M,2008,36
2008-09-08,F,2008,22
2008-09-08,M,2008,34
2008-09-09,F,2008,36
2008-09-09,M,2008,30
2008-09-10,F,2008,40
2008-09-10,M,2008,39
2008-09-11,F,2008,28
2008-09-11,M,2008,28
2008-09-12,F,2008,37
2008-09-12,M,2008,39
2008-09-13,F,2008,32
2008-09-13,M,2008,39
2008-09-14,F,2008,26
2008-09-14,M,2008,28
2008-09-15,F,2008,28
2008-09-15,M,2008,49
2008-09-16,F,2008,36
2008-09-16,M,2008,35
2008-09-17,F,2008,27
2008-09-17,M,2008,38
2008-09-18,F,2008,30
2008-09-18,M,2008,27
2008-09-19,F,2008,33
2008-09-19,M,2008,17
2008-09-20,F,2008,43
2008-09-20,M,2008,35
2008-09-21,F,2008,32
2008-09-21,M,2008,41
2008-09-22,F,2008,29
2008-09-22,M,2008,31
2008-09-23,F,2008,43
2008-09-23,M,2008,51
2008-09-24,F,2008,30
2008-09-24,M,2008,37
2008-09-25,F,2008,40
2008-09-25,M,2008,36
2008-09-26,F,2008,25
2008-09-26,M,2008,36
2008-09-27,F,2008,36
2008-09-27,M,2008,38
2008-09-28,F,2008,37
2008-09-28,M,2008,31
2008-09-29,F,2008,42
2008-09-29,M,2008,31
2008-09-30,F,2008,40
2008-09-30,M,2008,33
2008-10-01,F,2008,27
2008-10-01,M,2008,33
2008-10-02,F,2008,31
2008-10-02,M,2008,28
2008-10-03,F,2008,33
2008-10-03,M,2008,39
2008-10-04,F,2008,33
2008-10-04,M,2008,28
2008-10-05,F,2008,39
2008-10-05,M,2008,34
2008-10-06,F,2008,41
2008-10-06,M,2008,36
2008-10-07,F,2008,33
2008-10-07,M,2008,42
2008-10-08,F,2008,28
2008-10-08,M,2008,42
2008-10-09,F,2008,24
2008-10-09,M,2008,34
2008-10-10,F,2008,30
2008-10-10,M,2008,33
2008-10-11,F,2008,29
2008-10-11,M,2008,31
2008-10-12,F,2008,34
2008-10-12,M,2008,37
2008-10-13,F,2008,27
2008-10-13,M,2008,38
2008-10-14,F,2008,40
2008-10-14,M,2008,35
2008-10-15,F,2008,32
2008-10-15,M,2008,30
2008-10-16,F,2008,40
2008-10-16,M,2008,31
2008-10-17,F,2008,31
2008-10-17,M,2008,28
2008-10-18,F,2008,32
2008-10-18,M,2008,42
2008-10-19,F,2008,34
2008-10-19,M,2008,41
2008-10-20,F,2008,32
2008-10-20,M,2008,35
2008-10-21,F,2008,36
2008-10-21,M,2008,41
2008-10-22,F,2008,33
2008-10-22,M,2008,30
2008-10-23,F,2008,22
2008-10-23,M,2008,34
2008-10-24,F,2008,25
2008-10-24,M,2008,32
2008-10-25,F,2008,31
2008-10-25,M,2008,42
2008-10-26,F,2008,43
2008-10-26,M,2008,30
2008-10-27,F,2008,44
2008-10-27,M,2008,36
2008-10-28,F,2008,26
2008-10-28,M,2008,39
2008-10-29,F,2008,45
2008-10-29,M,2008,37
2008-10-30,F,2008,34
2008-10-30,M,2008,40
2008-10-31,F,2008,32
2008-10-31,M,2008,44
2008-11-01,F,2008,35
2008-11-01,M,2008,35
2008-11-02,F,2008,29
2008-11-02,M,2008,35
2008-11-03,F,2008,41
2008-11-03,M,2008,38
2008-11-04,F,2008,42
2008-11-04,M,2008,29
2008-11-05,F,2008,34
2008-11-05,M,2008,47
2008-11-06,F,2008,45
2008-11-06,M,2008,35
2008-11-07,F,2008,39
2008-11-07,M,2008,31
2008-11-08,F,2008,34
2008-11-08,M,2008,26
2008-11-09,F,2008,42
2008-11-09,M,2008,32
2008-11-10,F,2008,46
2008-11-10,M,2008,34
2008-11-11,F,2008,34
2008-11-11,M,2008,34
2008-11-12,F,2008,43
2008-11-12,M,2008,40
2008-11-13,F,2008,33
2008-11-13,M,2008,40
2008-11-14,F,2008,44
2008-11-14,M,2008,43
2008-11-15,F,2008,45
2008-11-15,M,2008,35
2008-11-16,F,2008,33
2008-11-16,M,2008,38
2008-11-17,F,2008,36
2008-11-17,M,2008,40
2008-11-18,F,2008,35
2008-11-18,M,2008,30
2008-11-19,F,2008,27
2008-11-19,M,2008,20
2008-11-20,F,2008,43
2008-11-20,M,2008,28
2008-11-21,F,2008,39
2008-11-21,M,2008,33
2008-11-22,F,2008,38
2008-11-22,M,2008,50
2008-11-23,F,2008,34
2008-11-23,M,2008,44
2008-11-24,F,2008,35
2008-11-24,M,2008,30
2008-11-25,F,2008,37
2008-11-25,M,2008,35
2008-11-26,F,2008,36
2008-11-26,M,2008,36
2008-11-27,F,2008,45
2008-11-27,M,2008,43
2008-11-28,F,2008,34
2008-11-28,M,2008,51
2008-11-29,F,2008,37
2008-11-29,M,2008,43
2008-11-30,F,2008,44
2008-11-30,M,2008,32
2008-12-01,F,2008,36
2008-12-01,M,2008,39
2008-12-02,F,2008,39
2008-12-02,M,2008,32
2008-12-03,F,2008,32
2008-12-03,M,2008,41
2008-12-04,F,2008,37
2008-12-04,M,2008,38
2008-12-05,F,2008,43
2008-12-05,M,2008,42
2008-12-06,F,2008,36
2008-12-06,M,2008,38
2008-12-07,F,2008,32
2008-12-07,M,2008,34
2008-12-08,F,2008,34
2008-12-08,M,2008,35
2008-12-09,F,2008,25
2008-12-09,M,2008,42
2008-12-10,F,2008,41
2008-12-10,M,2008,38
2008-12-11,F,2008,46
2008-12-11,M,2008,41
2008-12-12,F,2008,50
2008-12-12,M,2008,40
2008-12-13,F,2008,43
2008-12-13,M,2008,27
2008-12-14,F,2008,44
2008-12-14,M,2008,54
2008-12-15,F,2008,45
2008-12-15,M,2008,37
2008-12-16,F,2008,42
2008-12-16,M,2008,39
2008-12-17,F,2008,40
2008-12-17,M,2008,50
2008-12-18,F,2008,37
2008-12-18,M,2008,42
2008-12-19,F,2008,44
2008-12-19,M,2008,30
2008-12-20,F,2008,48
2008-12-20,M,2008,33
2008-12-21,F,2008,34
2008-12-21,M,2008,34
2008-12-22,F,2008,57
2008-12-22,M,2008,51
2008-12-23,F,2008,26
2008-12-23,M,2008,37
2008-12-24,F,2008,32
2008-12-24,M,2008,35
2008-12-25,F,2008,33
2008-12-25,M,2008,48
2008-12-26,F,2008,43
2008-12-26,M,2008,47
2008-12-27,F,2008,39
2008-12-27,M,2008,43
2008-12-28,F,2008,43
2008-12-28,M,2008,38
2008-12-29,F,2008,45
2008-12-29,M,2008,41
2008-12-30,F,2008,46
2008-12-30,M,2008,51
2008-12-31,F,2008,53
2008-12-31,M,2008,51
2009-01-01,F,2009,43
2009-01-01,M,2009,49
2009-01-02,F,2009,44
2009-01-02,M,2009,47
2009-01-03,F,2009,44
2009-01-03,M,2009,45
2009-01-04,F,2009,52
2009-01-04,M,2009,52
2009-01-05,F,2009,47
2009-01-05,M,2009,51
2009-01-06,F,2009,45
2009-01-06,M,2009,41
2009-01-07,F,2009,47
2009-01-07,M,2009,55
2009-01-08,F,2009,49
2009-01-08,M,2009,55
2009-01-09,F,2009,50
2009-01-09,M,2009,51
2009-01-10,F,2009,52
2009-01-10,M,2009,44
2009-01-11,F,2009,42
2009-01-11,M,2009,47
2009-01-12,F,2009,56
2009-01-12,M,2009,50
2009-01-13,F,2009,64
2009-01-13,M,2009,53
2009-01-14,F,2009,51
2009-01-14,M,2009,49
2009-01-15,F,2009,61
2009-01-15,M,2009,56
2009-01-16,F,2009,54
2009-01-16,M,2009,41
2009-01-17,F,2009,48
2009-01-17,M,2009,42
2009-01-18,F,2009,47
2009-01-18,M,2009,34
2009-01-19,F,2009,45
2009-01-19,M,2009,53
2009-01-20,F,2009,52
2009-01-20,M,2009,47
2009-01-21,F,2009,37
2009-01-21,M,2009,53
2009-01-22,F,2009,54
2009-01-22,M,2009,55
2009-01-23,F,2009,49
2009-01-23,M,2009,64
2009-01-24,F,2009,42
2009-01-24,M,2009,49
2009-01-25,F,2009,39
2009-01-25,M,2009,33
2009-01-26,F,2009,66
2009-01-26,M,2009,51
2009-01-27,F,2009,41
2009-01-27,M,2009,59
2009-01-28,F,2009,41
2009-01-28,M,2009,45
2009-01-29,F,2009,31
2009-01-29,M,2009,44
2009-01-30,F,2009,47
2009-01-30,M,2009,42
2009-01-31,F,2009,41
2009-01-31,M,2009,55
2009-02-01,F,2009,33
2009-02-01,M,2009,45
2009-02-02,F,2009,36
2009-02-02,M,2009,40
2009-02-03,F,2009,39
2009-02-03,M,2009,49
2009-02-04,F,2009,42
2009-02-04,M,2009,44
2009-02-05,F,2009,32
2009-02-05,M,2009,35
2009-02-06,F,2009,52
2009-02-06,M,2009,38
2009-02-07,F,2009,39
2009-02-07,M,2009,35
2009-02-08,F,2009,43
2009-02-08,M,2009,46
2009-02-09,F,2009,38
2009-02-09,M,2009,48
2009-02-10,F,2009,42
2009-02-10,M,2009,48
2009-02-11,F,2009,45
2009-02-11,M,2009,42
2009-02-12,F,2009,31
2009-02-12,M,2009,41
2009-02-13,F,2009,46
2009-02-13,M,2009,31
2009-02-14,F,2009,41
2009-02-14,M,2009,38
2009-02-15,F,2009,47
2009-02-15,M,2009,41
2009-02-16,F,2009,35
2009-02-16,M,2009,31
2009-02-17,F,2009,47
2009-02-17,M,2009,40
2009-02-18,F,2009,46
2009-02-18,M,2009,43
2009-02-19,F,2009,33
2009-02-19,M,2009,36
2009-02-20,F,2009,34
2009-02-20,M,2009,45
2009-02-21,F,2009,37
2009-02-21,M,2009,25
2009-02-22,F,2009,38
2009-02-22,M,2009,40
2009-02-23,F,2009,45
2009-02-23,M,2009,40
2009-02-24,F,2009,32
2009-02-24,M,2009,41
