"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2020 June 12","Both sexes","Number","84"
"RIP.ie death notices","2020 June 13","Both sexes","Number","74"
"RIP.ie death notices","2020 June 14","Both sexes","Number","86"
"RIP.ie death notices","2020 June 15","Both sexes","Number","88"
"RIP.ie death notices","2020 June 16","Both sexes","Number","76"
"RIP.ie death notices","2020 June 17","Both sexes","Number","55"
"RIP.ie death notices","2020 June 18","Both sexes","Number","87"
"RIP.ie death notices","2020 June 19","Both sexes","Number","83"
"RIP.ie death notices","2020 June 20","Both sexes","Number","77"
"RIP.ie death notices","2020 June 21","Both sexes","Number","56"
"RIP.ie death notices","2020 June 22","Both sexes","Number","69"
"RIP.ie death notices","2020 June 23","Both sexes","Number","70"
"RIP.ie death notices","2020 June 24","Both sexes","Number","76"
"RIP.ie death notices","2020 June 25","Both sexes","Number","70"
"RIP.ie death notices","2020 June 26","Both sexes","Number","67"
"RIP.ie death notices","2020 June 27","Both sexes","Number","73"
"RIP.ie death notices","2020 June 28","Both sexes","Number","84"
"RIP.ie death notices","2020 June 29","Both sexes","Number","79"
"RIP.ie death notices","2020 June 30","Both sexes","Number","68"
"RIP.ie death notices","2020 July 01","Both sexes","Number","71"
"RIP.ie death notices","2020 July 02","Both sexes","Number","73"
"RIP.ie death notices","2020 July 03","Both sexes","Number","68"
"RIP.ie death notices","2020 July 04","Both sexes","Number","64"
"RIP.ie death notices","2020 July 05","Both sexes","Number","57"
"RIP.ie death notices","2020 July 06","Both sexes","Number","69"
"RIP.ie death notices","2020 July 07","Both sexes","Number","78"
"RIP.ie death notices","2020 July 08","Both sexes","Number","77"
"RIP.ie death notices","2020 July 09","Both sexes","Number","66"
"RIP.ie death notices","2020 July 10","Both sexes","Number","76"
"RIP.ie death notices","2020 July 11","Both sexes","Number","75"
"RIP.ie death notices","2020 July 12","Both sexes","Number","74"
"RIP.ie death notices","2020 July 13","Both sexes","Number","84"
"RIP.ie death notices","2020 July 14","Both sexes","Number","66"
"RIP.ie death notices","2020 July 15","Both sexes","Number","86"
"RIP.ie death notices","2020 July 16","Both sexes","Number","86"
"RIP.ie death notices","2020 July 17","Both sexes","Number","84"
"RIP.ie death notices","2020 July 18","Both sexes","Number","78"
"RIP.ie death notices","2020 July 19","Both sexes","Number","78"
"RIP.ie death notices","2020 July 20","Both sexes","Number","78"
"RIP.ie death notices","2020 July 21","Both sexes","Number","76"
"RIP.ie death notices","2020 July 22","Both sexes","Number","68"
"RIP.ie death notices","2020 July 23","Both sexes","Number","77"
"RIP.ie death notices","2020 July 24","Both sexes","Number","83"
"RIP.ie death notices","2020 July 25","Both sexes","Number","73"
"RIP.ie death notices","2020 July 26","Both sexes","Number","69"
"RIP.ie death notices","2020 July 27","Both sexes","Number","71"
