Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    03,  11,      3.356,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160311_f17_nrt_s.bin
2016,    03,  12,      3.508,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160312_f17_nrt_s.bin
2016,    03,  13,      3.582,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160313_f17_nrt_s.bin
2016,    03,  14,      3.677,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160314_f17_nrt_s.bin
2016,    03,  15,      3.815,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160315_f17_nrt_s.bin
2016,    03,  16,      3.946,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160316_f17_nrt_s.bin
2016,    03,  17,      4.048,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160317_f17_nrt_s.bin
2016,    03,  18,      4.191,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160318_f17_nrt_s.bin
2016,    03,  19,      4.289,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160319_f17_nrt_s.bin
2016,    03,  20,      4.404,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160320_f17_nrt_s.bin
2016,    03,  21,      4.482,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160321_f17_nrt_s.bin
2016,    03,  22,      4.701,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160322_f17_nrt_s.bin
2016,    03,  23,      4.856,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160323_f17_nrt_s.bin
2016,    03,  24,      5.002,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160324_f17_nrt_s.bin
2016,    03,  25,      5.134,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160325_f17_nrt_s.bin
2016,    03,  26,      5.201,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160326_f17_nrt_s.bin
2016,    03,  27,      5.341,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160327_f17_nrt_s.bin
2016,    03,  28,      5.439,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160328_f17_nrt_s.bin
2016,    03,  29,      5.535,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160329_f17_nrt_s.bin
2016,    03,  30,      5.638,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160330_f17_nrt_s.bin
2016,    03,  31,      5.741,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160331_f17_nrt_s.bin
2016,    04,  01,      5.759,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160401_f18_nrt_s.bin
2016,    04,  02,      5.884,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160402_f18_nrt_s.bin
2016,    04,  03,      5.981,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160403_f18_nrt_s.bin
2016,    04,  04,      6.064,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160404_f18_nrt_s.bin
2016,    04,  05,      6.182,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160405_f18_nrt_s.bin
2016,    04,  06,      6.285,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160406_f18_nrt_s.bin
2016,    04,  07,      6.335,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160407_f18_nrt_s.bin
2016,    04,  08,      6.408,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160408_f18_nrt_s.bin
2016,    04,  09,      6.488,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160409_f18_nrt_s.bin
2016,    04,  10,      6.546,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160410_f18_nrt_s.bin
2016,    04,  11,      6.605,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160411_f18_nrt_s.bin
2016,    04,  12,      6.757,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160412_f18_nrt_s.bin
2016,    04,  13,      6.905,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160413_f18_nrt_s.bin
2016,    04,  14,      7.052,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160414_f18_nrt_s.bin
2016,    04,  15,      7.208,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160415_f18_nrt_s.bin
2016,    04,  16,      7.327,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160416_f18_nrt_s.bin
2016,    04,  17,      7.452,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160417_f18_nrt_s.bin
2016,    04,  18,      7.516,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160418_f18_nrt_s.bin
2016,    04,  19,      7.522,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160419_f18_nrt_s.bin
2016,    04,  20,      7.636,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160420_f18_nrt_s.bin
2016,    04,  21,      7.744,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160421_f18_nrt_s.bin
2016,    04,  22,      7.843,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160422_f18_nrt_s.bin
2016,    04,  23,      7.957,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160423_f18_nrt_s.bin
2016,    04,  24,      8.141,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160424_f18_nrt_s.bin
2016,    04,  25,      8.230,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160425_f18_nrt_s.bin
2016,    04,  26,      8.362,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160426_f18_nrt_s.bin
2016,    04,  27,      8.419,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160427_f18_nrt_s.bin
2016,    04,  28,      8.448,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160428_f18_nrt_s.bin
2016,    04,  29,      8.565,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160429_f18_nrt_s.bin
2016,    04,  30,      8.643,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160430_f18_nrt_s.bin
2016,    05,  01,      8.738,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160501_f18_nrt_s.bin
2016,    05,  02,      8.855,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160502_f18_nrt_s.bin
2016,    05,  03,      8.997,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160503_f18_nrt_s.bin
2016,    05,  04,      9.096,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160504_f18_nrt_s.bin
2016,    05,  05,      9.138,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160505_f18_nrt_s.bin
2016,    05,  06,      9.237,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160506_f18_nrt_s.bin
2016,    05,  07,      9.297,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160507_f18_nrt_s.bin
2016,    05,  08,      9.384,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160508_f18_nrt_s.bin
