Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2020/08/03 11:00:00+00,244534,642332,397798,29459,4.6,3041,27422,330,1.2,139
2020/08/04 11:00:00+00,246072,644323,398251,29465,4.6,1991,24448,320,1.3,140
2020/08/05 11:00:00+00,248579,648084,399505,29517,4.6,3761,23469,326,1.4,141
2020/08/06 11:00:00+00,251236,652917,401681,29590,4.5,4833,23919,343,1.4,142
2020/08/07 11:00:00+00,253609,657897,404288,29684,4.5,4980,25043,408,1.6,143
2020/08/08 11:00:00+00,255729,662777,407048,29821,4.5,4880,26617,492,1.8,144
2020/08/09 11:00:00+00,257516,666884,409368,29876,4.5,4107,27593,493,1.8,145
2020/08/10 11:00:00+00,259055,670758,411703,29936,4.5,3874,28426,477,1.7,146
2020/08/11 11:00:00+00,261781,674784,413003,29989,4.4,4026,30461,524,1.7,147
2020/08/12 11:00:00+00,264997,680627,415630,30069,4.4,5843,32543,552,1.7,148
2020/08/13 11:00:00+00,267837,687699,419862,30132,4.4,7072,34782,542,1.6,149
2020/08/14 11:00:00+00,270359,699036,428677,30270,4.3,11337,41139,586,1.4,150
2020/08/15 11:00:00+00,272543,709689,437146,30392,4.3,10653,46912,571,1.2,151
2020/08/16 11:00:00+00,274307,720041,445734,30481,4.2,10352,53157,605,1.1,152
2020/08/17 11:00:00+00,276113,725574,449461,30651,4.2,5533,54816,715,1.3,153
