date,sex,year,deaths
2015-06-09,F,2015,43
2015-06-09,M,2015,44
2015-06-10,F,2015,26
2015-06-10,M,2015,41
2015-06-11,F,2015,47
2015-06-11,M,2015,45
2015-06-12,F,2015,37
2015-06-12,M,2015,43
2015-06-13,F,2015,45
2015-06-13,M,2015,26
2015-06-14,F,2015,30
2015-06-14,M,2015,27
2015-06-15,F,2015,36
2015-06-15,M,2015,41
2015-06-16,F,2015,40
2015-06-16,M,2015,38
2015-06-17,F,2015,37
2015-06-17,M,2015,24
2015-06-18,F,2015,29
2015-06-18,M,2015,45
2015-06-19,F,2015,32
2015-06-19,M,2015,51
2015-06-20,F,2015,29
2015-06-20,M,2015,49
2015-06-21,F,2015,35
2015-06-21,M,2015,20
2015-06-22,F,2015,39
2015-06-22,M,2015,42
2015-06-23,F,2015,32
2015-06-23,M,2015,40
2015-06-24,F,2015,26
2015-06-24,M,2015,38
2015-06-25,F,2015,47
2015-06-25,M,2015,25
2015-06-26,F,2015,38
2015-06-26,M,2015,32
2015-06-27,F,2015,38
2015-06-27,M,2015,48
2015-06-28,F,2015,36
2015-06-28,M,2015,40
2015-06-29,F,2015,42
2015-06-29,M,2015,27
2015-06-30,F,2015,47
2015-06-30,M,2015,36
2015-07-01,F,2015,35
2015-07-01,M,2015,49
2015-07-02,F,2015,36
2015-07-02,M,2015,31
2015-07-03,F,2015,30
2015-07-03,M,2015,37
2015-07-04,F,2015,35
2015-07-04,M,2015,33
2015-07-05,F,2015,38
2015-07-05,M,2015,37
2015-07-06,F,2015,37
2015-07-06,M,2015,39
2015-07-07,F,2015,32
2015-07-07,M,2015,37
2015-07-08,F,2015,32
2015-07-08,M,2015,32
2015-07-09,F,2015,37
2015-07-09,M,2015,33
2015-07-10,F,2015,33
2015-07-10,M,2015,41
2015-07-11,F,2015,32
2015-07-11,M,2015,36
2015-07-12,F,2015,49
2015-07-12,M,2015,35
2015-07-13,F,2015,25
2015-07-13,M,2015,36
2015-07-14,F,2015,27
2015-07-14,M,2015,46
2015-07-15,F,2015,35
2015-07-15,M,2015,39
2015-07-16,F,2015,45
2015-07-16,M,2015,35
2015-07-17,F,2015,33
2015-07-17,M,2015,32
2015-07-18,F,2015,41
2015-07-18,M,2015,29
2015-07-19,F,2015,34
2015-07-19,M,2015,34
2015-07-20,F,2015,30
2015-07-20,M,2015,33
2015-07-21,F,2015,27
2015-07-21,M,2015,36
2015-07-22,F,2015,30
2015-07-22,M,2015,32
2015-07-23,F,2015,29
2015-07-23,M,2015,28
2015-07-24,F,2015,32
2015-07-24,M,2015,26
2015-07-25,F,2015,30
2015-07-25,M,2015,41
2015-07-26,F,2015,35
2015-07-26,M,2015,36
2015-07-27,F,2015,34
2015-07-27,M,2015,31
2015-07-28,F,2015,36
2015-07-28,M,2015,31
2015-07-29,F,2015,35
2015-07-29,M,2015,32
2015-07-30,F,2015,45
2015-07-30,M,2015,31
2015-07-31,F,2015,38
2015-07-31,M,2015,44
2015-08-01,F,2015,31
2015-08-01,M,2015,32
2015-08-02,F,2015,26
2015-08-02,M,2015,28
2015-08-03,F,2015,31
2015-08-03,M,2015,41
2015-08-04,F,2015,33
2015-08-04,M,2015,46
2015-08-05,F,2015,30
2015-08-05,M,2015,36
2015-08-06,F,2015,29
2015-08-06,M,2015,44
2015-08-07,F,2015,32
2015-08-07,M,2015,41
2015-08-08,F,2015,35
2015-08-08,M,2015,38
2015-08-09,F,2015,35
2015-08-09,M,2015,38
2015-08-10,F,2015,41
2015-08-10,M,2015,37
2015-08-11,F,2015,35
2015-08-11,M,2015,36
2015-08-12,F,2015,32
2015-08-12,M,2015,46
2015-08-13,F,2015,46
2015-08-13,M,2015,33
2015-08-14,F,2015,35
2015-08-14,M,2015,40
2015-08-15,F,2015,38
2015-08-15,M,2015,28
2015-08-16,F,2015,41
2015-08-16,M,2015,41
2015-08-17,F,2015,36
2015-08-17,M,2015,40
2015-08-18,F,2015,38
2015-08-18,M,2015,51
2015-08-19,F,2015,31
2015-08-19,M,2015,33
2015-08-20,F,2015,40
2015-08-20,M,2015,37
2015-08-21,F,2015,34
2015-08-21,M,2015,43
2015-08-22,F,2015,38
2015-08-22,M,2015,36
2015-08-23,F,2015,37
2015-08-23,M,2015,39
2015-08-24,F,2015,42
2015-08-24,M,2015,35
2015-08-25,F,2015,36
2015-08-25,M,2015,36
2015-08-26,F,2015,30
2015-08-26,M,2015,41
2015-08-27,F,2015,32
2015-08-27,M,2015,30
2015-08-28,F,2015,38
2015-08-28,M,2015,18
2015-08-29,F,2015,41
2015-08-29,M,2015,31
2015-08-30,F,2015,34
2015-08-30,M,2015,27
2015-08-31,F,2015,41
2015-08-31,M,2015,31
2015-09-01,F,2015,39
2015-09-01,M,2015,47
2015-09-02,F,2015,30
2015-09-02,M,2015,41
2015-09-03,F,2015,35
2015-09-03,M,2015,44
2015-09-04,F,2015,38
2015-09-04,M,2015,38
2015-09-05,F,2015,40
2015-09-05,M,2015,33
2015-09-06,F,2015,41
2015-09-06,M,2015,28
2015-09-07,F,2015,45
2015-09-07,M,2015,30
2015-09-08,F,2015,31
2015-09-08,M,2015,27
2015-09-09,F,2015,27
2015-09-09,M,2015,35
2015-09-10,F,2015,36
2015-09-10,M,2015,45
2015-09-11,F,2015,43
2015-09-11,M,2015,64
2015-09-12,F,2015,45
2015-09-12,M,2015,37
2015-09-13,F,2015,35
2015-09-13,M,2015,38
2015-09-14,F,2015,33
2015-09-14,M,2015,35
2015-09-15,F,2015,30
2015-09-15,M,2015,38
2015-09-16,F,2015,27
2015-09-16,M,2015,36
2015-09-17,F,2015,41
2015-09-17,M,2015,34
2015-09-18,F,2015,32
2015-09-18,M,2015,33
2015-09-19,F,2015,33
2015-09-19,M,2015,37
2015-09-20,F,2015,39
2015-09-20,M,2015,32
2015-09-21,F,2015,52
2015-09-21,M,2015,42
2015-09-22,F,2015,43
2015-09-22,M,2015,30
2015-09-23,F,2015,40
2015-09-23,M,2015,42
2015-09-24,F,2015,44
2015-09-24,M,2015,31
2015-09-25,F,2015,46
2015-09-25,M,2015,48
2015-09-26,F,2015,34
2015-09-26,M,2015,55
2015-09-27,F,2015,39
2015-09-27,M,2015,40
2015-09-28,F,2015,41
2015-09-28,M,2015,40
2015-09-29,F,2015,39
2015-09-29,M,2015,42
2015-09-30,F,2015,31
2015-09-30,M,2015,25
2015-10-01,F,2015,31
2015-10-01,M,2015,46
2015-10-02,F,2015,31
2015-10-02,M,2015,38
2015-10-03,F,2015,34
2015-10-03,M,2015,36
2015-10-04,F,2015,29
2015-10-04,M,2015,33
2015-10-05,F,2015,39
