Name,Rank,Number of Births,year
Suzanne,44,198,1971
Kathleen,45,196,1971
Deborah,46,190,1971
Nora,47,183,1971
Audrey,48,174,1971
Barbara,49,172,1971
Valerie,50,170,1971
Paula,51,169,1971
Anna,52,164,1971
Josephine,53,161,1971
Tracy,54,160,1971
Brigid,55,157,1971
Amanda,56,156,1971
Claire,57,155,1971
Aisling,58,153,1971
Nicola,59,147,1971
Joan,59,147,1971
Christina,61,144,1971
Sheila,62,143,1971
Ciara,63,139,1971
Shirley,64,135,1971
Joanne,65,134,1971
Pauline,65,134,1971
Tara,67,133,1971
Ruth,68,132,1971
Colette,69,131,1971
Ellen,70,128,1971
Annette,71,127,1971
Tracey,71,127,1971
Edel,73,126,1971
Grainne,74,121,1971
Anita,75,120,1971
Alison,76,114,1971
Brenda,77,113,1971
Jane,78,111,1971
Helena,79,107,1971
Frances,79,107,1971
Noreen,79,107,1971
Emer,82,100,1971
Samantha,83,99,1971
Jean,83,99,1971
Clodagh,85,98,1971
Laura,86,97,1971
Clare,86,97,1971
Julia,88,96,1971
Veronica,89,94,1971
Maeve,90,93,1971
Andrea,90,93,1971
Antoinette,90,93,1971
Michele,90,93,1971
Una,94,91,1971
Pamela,94,91,1971
Majella,94,91,1971
Rose,97,89,1971
Miriam,98,88,1971
Katherine,99,87,1971
Nuala,100,86,1971
Johanna,101,85,1971
Christine,102,84,1971
Julie,103,82,1971
Regina,103,82,1971
Lorna,105,81,1971
Jacinta,105,81,1971
Evelyn,107,79,1971
Mairead,107,79,1971
Hilary,107,79,1971
Irene,110,78,1971
Theresa,111,77,1971
Marian,112,75,1971
Olive,113,73,1971
Aileen,114,72,1971
Aine,115,71,1971
Rosemary,116,69,1971
Janet,117,65,1971
Roisin,118,62,1971
Celine,119,61,1971
Monica,119,61,1971
Imelda,121,59,1971
Aoife,122,58,1971
Philomena,122,58,1971
Alice,124,56,1971
Eleanor,124,56,1971
Therese,124,56,1971
Adrienne,124,56,1971
Rosaleen,124,56,1971
Wendy,129,55,1971
Maureen,129,55,1971
Emma,131,53,1971
June,132,52,1971
Cliona,133,50,1971
Caitriona,133,50,1971
Tanya,133,50,1971
Ursula,133,50,1971
Grace,137,49,1971
Vivienne,137,49,1971
Rebecca,139,48,1971
Olivia,139,48,1971
Stephanie,139,48,1971
Rita,139,48,1971
Noelle,143,47,1971
Catriona,144,46,1971
Winifred,144,46,1971
Noeleen,144,46,1971
Victoria,147,45,1971
Cora,147,45,1971
Judith,147,45,1971
Marion,150,44,1971
Hazel,151,43,1971
Maura,151,43,1971
Ashley,153,42,1971
Georgina,153,42,1971
Avril,155,41,1971
Breda,156,40,1971
Eithne,156,40,1971
Eimear,158,38,1971
Vanessa,158,38,1971
Aideen,158,38,1971
Ashling,158,38,1971
Sylvia,158,38,1971
Sara,163,37,1971
Marguerite,163,37,1971
Maire,165,36,1971
Dolores,165,36,1971
Janice,165,36,1971
Fionnuala,168,35,1971
Martha,169,33,1971
Donna,169,33,1971
Fidelma,169,33,1971
Loraine,169,33,1971
Susanne,169,33,1971
Hannah,174,32,1971
Rachael,174,32,1971
Kathryn,174,32,1971
Joyce,174,32,1971
Melissa,178,31,1971
Karina,178,31,1971
Eilish,178,31,1971
Diane,178,31,1971
Gail,178,31,1971
Melanie,183,30,1971
Sonia,183,30,1971
Ita,183,30,1971
Charlotte,186,29,1971
Lynda,186,29,1971
Lynn,186,29,1971
Ingrid,189,28,1971
Finola,189,28,1971
Jeanette,189,28,1971
Oonagh,189,28,1971
Gemma,193,26,1971
Janette,193,26,1971
Allison,195,25,1971
Hilda,195,25,1971
Emily,197,24,1971
Naomi,197,24,1971
Esther,197,24,1971
Brid,200,23,1971
Sheena,200,23,1971
Jillian,200,23,1971
Vivian,200,23,1971
Marcella,200,23,1971
Norma,200,23,1971
Kim,206,22,1971
Rhona,206,22,1971
Sonya,206,22,1971
Leona,209,21,1971
Dara,209,21,1971
Moira,209,21,1971
Joanna,212,20,1971
Dawn,212,20,1971
Cecilia,212,20,1971
Agnes,212,20,1971
Dorothy,212,20,1971
Florence,212,20,1971
Tina,212,20,1971
Gwendoline,212,20,1971
Nicole,220,19,1971
Eva,220,19,1971
Lilian,220,19,1971
Cathriona,220,19,1971
Nichola,220,19,1971
Madeline,225,18,1971
Katrina,225,18,1971
Eilis,225,18,1971
Triona,225,18,1971
Lucy,229,17,1971
Stella,229,17,1971
Norah,229,17,1971
Lesley,229,17,1971
Muriel,229,17,1971
Natasha,234,16,1971
Natalie,234,16,1971
Alma,234,16,1971
Rosemarie,234,16,1971
Corina,234,16,1971
Juliet,239,15,1971
Brona,239,15,1971
Dympna,239,15,1971
Edwina,239,15,1971
Heather,243,14,1971
Diana,243,14,1971
Ailish,243,14,1971
Genevieve,243,14,1971
Rosanna,243,14,1971
Hanora,243,14,1971
Carolyn,243,14,1971
Isobel,250,13,1971
Sorcha,250,13,1971
Gabrielle,250,13,1971
Olga,250,13,1971
Concepta,250,13,1971
Jacintha,250,13,1971
Siobhain,250,13,1971
Alexandra,257,12,1971
Eve,257,12,1971
Bronagh,257,12,1971
Jill,257,12,1971
Simone,257,12,1971
Cathy,257,12,1971
Leonie,257,12,1971
Adele,257,12,1971
Derval,257,12,1971
Abina,257,12,1971
Belinda,257,12,1971
Gertrude,257,12,1971
Annie,269,11,1971
Dearbhla,269,11,1971
Lydia,269,11,1971
Serena,269,11,1971
Mandy,269,11,1971
Marianne,269,11,1971
Collette,269,11,1971
Rhonda,269,11,1971
Amy,277,10,1971
Anastasia,277,10,1971
Orna,277,10,1971
Judy,277,10,1971
Marina,277,10,1971
Bernice,277,10,1971
Roberta,277,10,1971
Debra,277,10,1971
Ethel,277,10,1971
Freda,277,10,1971
Loretta,277,10,1971
Sioban,277,10,1971
Caoimhe,289,9,1971
Cara,289,9,1971
Muireann,289,9,1971
Nessa,289,9,1971
Louisa,289,9,1971
Gina,289,9,1971
Arlene,289,9,1971
Carole,289,9,1971
Doreen,289,9,1971
Ethna,289,9,1971
Liza,289,9,1971
Lynne,289,9,1971
Sonja,289,9,1971
Thelma,289,9,1971
Kate,303,8,1971
Isabel,303,8,1971
Orlaith,303,8,1971
Ailbhe,303,8,1971
Kelly,303,8,1971
Carla,303,8,1971
Lucia,303,8,1971
Nadine,303,8,1971
Heidi,303,8,1971
Sally,303,8,1971
Joy,303,8,1971
Blaithin,303,8,1971
Iris,303,8,1971
Cynthia,303,8,1971
